iter	Passed	Remaining
0	145	145095
1	146	72975
2	147	48867
3	148	36864
4	148	29622
5	149	24790
6	150	21332
7	151	18758
8	151	16729
9	152	15132
10	153	13831
11	155	12775
12	155	11822
13	156	11014
14	157	10311
15	157	9710
16	159	9206
17	159	8723
18	160	8286
19	161	7899
20	161	7549
21	162	7223
22	163	6926
23	163	6663
24	164	6431
25	165	6201
26	166	5983
27	166	5783
28	167	5598
29	167	5430
30	168	5272
31	169	5133
32	171	5014
33	172	4889
34	172	4761
35	173	4638
36	173	4523
37	174	4416
38	175	4316
39	175	4221
40	176	4131
41	178	4064
42	178	3980
43	179	3897
44	180	3821
45	180	3746
46	181	3679
47	182	3623
48	183	3562
49	184	3499
50	184	3437
51	185	3379
52	185	3323
53	186	3269
54	187	3220
55	188	3174
56	188	3125
57	189	3078
58	190	3032
59	190	2986
60	191	2944
61	192	2906
62	192	2868
63	193	2831
64	194	2794
65	195	2760
66	195	2724
67	196	2689
68	196	2655
69	197	2622
70	198	2592
71	198	2563
72	199	2536
73	200	2513
74	201	2485
75	202	2456
76	202	2429
77	203	2403
78	204	2379
79	204	2354
80	205	2330
81	206	2307
82	206	2281
83	207	2259
84	207	2236
85	208	2214
86	208	2192
87	209	2171
88	210	2151
89	210	2131
90	211	2112
91	212	2095
92	213	2077
93	213	2059
94	214	2040
95	214	2022
96	215	2004
97	216	1988
98	216	1971
99	217	1957
100	218	1941
101	218	1927
102	219	1912
103	220	1896
104	220	1881
105	221	1866
106	221	1852
107	222	1839
108	223	1826
109	224	1812
110	224	1800
111	225	1787
112	226	1774
113	226	1760
114	226	1746
115	227	1734
116	228	1721
117	228	1710
118	229	1699
119	230	1689
120	231	1679
121	231	1667
122	232	1656
123	232	1645
124	233	1633
125	233	1622
126	234	1612
127	235	1602
128	236	1596
129	237	1588
130	237	1578
131	238	1569
132	239	1560
133	240	1551
134	240	1542
135	241	1533
136	242	1525
137	242	1516
138	243	1506
139	243	1497
140	244	1488
141	244	1477
142	245	1469
143	245	1462
144	246	1455
145	247	1447
146	248	1440
147	248	1433
148	249	1424
149	250	1417
150	250	1409
151	251	1402
152	252	1396
153	253	1390
154	253	1383
155	255	1381
156	256	1375
157	256	1368
158	257	1362
159	258	1357
160	259	1350
161	259	1343
162	260	1336
163	260	1330
164	261	1324
165	262	1318
166	262	1311
167	263	1305
168	264	1300
169	265	1294
170	266	1290
171	266	1283
172	267	1277
173	267	1271
174	268	1265
175	268	1259
176	269	1253
177	270	1248
178	271	1243
179	271	1237
180	272	1232
181	272	1226
182	273	1220
183	273	1214
184	274	1209
185	275	1203
186	275	1198
187	276	1193
188	277	1188
189	277	1183
190	278	1180
191	279	1176
192	280	1172
193	281	1167
194	281	1163
195	282	1159
196	283	1154
197	284	1150
198	284	1146
199	285	1141
200	286	1137
201	286	1132
202	287	1127
203	287	1123
204	288	1119
205	289	1114
206	289	1110
207	290	1106
208	291	1101
209	291	1097
210	292	1092
211	292	1087
212	293	1082
213	293	1078
214	294	1074
215	294	1070
216	295	1066
217	296	1062
218	296	1058
219	297	1054
220	297	1050
221	298	1046
222	299	1041
223	299	1037
224	300	1034
225	300	1030
226	301	1027
227	302	1024
228	303	1021
229	304	1018
230	304	1014
231	305	1010
232	305	1007
233	306	1003
234	307	999
235	307	996
236	308	993
237	309	990
238	310	987
239	310	983
240	311	979
241	311	976
242	312	972
243	313	969
244	313	967
245	314	964
246	315	960
247	315	957
248	316	953
249	316	950
250	317	946
251	317	943
252	318	940
253	319	937
254	319	934
255	320	932
256	321	929
257	322	926
258	322	923
259	323	919
260	323	916
261	324	913
262	325	911
263	325	907
264	326	905
265	327	902
266	327	900
267	328	897
268	328	893
269	329	890
270	330	888
271	330	885
272	331	882
273	332	879
274	333	878
275	333	875
276	334	873
277	335	870
278	335	867
279	336	865
280	337	862
281	338	861
282	339	859
283	340	857
284	340	854
285	341	851
286	341	849
287	342	846
288	343	844
289	344	844
290	345	842
291	346	839
292	346	837
293	347	834
294	348	832
295	348	829
296	349	828
297	351	827
298	351	824
299	352	821
300	352	819
301	353	816
302	353	814
303	355	813
304	356	811
305	356	809
306	357	807
307	358	805
308	358	802
309	359	800
310	360	797
311	360	795
312	361	792
313	362	791
314	363	789
315	363	787
316	364	785
317	365	783
318	365	781
319	366	779
320	367	777
321	368	775
322	369	773
323	370	772
324	370	769
325	371	767
326	372	765
327	372	764
328	373	762
329	375	761
330	376	760
331	376	758
332	377	756
333	378	754
334	379	752
335	380	751
336	381	749
337	381	747
338	382	745
339	383	743
340	383	741
341	384	739
342	385	737
343	386	736
344	386	734
345	387	732
346	388	730
347	388	728
348	389	726
349	390	724
350	390	722
351	391	721
352	392	720
353	393	718
354	394	716
355	394	713
356	395	711
357	395	709
