iter	Passed	Remaining
0	0	635
1	1	587
2	1	550
3	2	530
4	2	514
5	3	524
6	3	534
7	4	525
8	4	531
9	5	533
10	5	526
11	6	522
12	6	513
13	7	514
14	7	511
15	8	511
16	8	508
17	9	510
18	9	512
19	10	509
20	10	508
21	11	508
22	11	506
23	12	504
24	12	506
25	13	502
26	13	500
27	14	498
28	14	497
29	15	497
30	15	497
31	16	495
32	16	496
33	17	494
34	17	493
35	18	493
36	18	492
37	19	492
38	19	491
39	20	487
40	20	487
41	21	485
42	21	486
43	22	487
44	22	486
45	23	485
46	23	485
47	24	484
48	24	483
49	25	483
50	25	482
51	26	481
52	26	479
53	27	478
54	27	476
55	28	478
56	28	477
57	29	475
58	29	474
59	30	472
60	30	471
61	31	470
62	31	468
63	31	467
64	32	467
65	32	466
66	33	465
67	33	463
68	34	463
69	34	462
70	35	461
71	35	460
72	36	460
73	36	459
74	37	458
75	37	457
76	38	456
77	38	454
78	38	453
79	39	450
80	39	449
81	40	448
82	40	447
83	40	446
84	41	445
85	41	444
86	42	443
87	42	442
88	43	442
89	43	441
90	44	440
91	44	439
92	44	438
93	45	437
94	45	436
95	46	435
96	46	434
97	47	434
98	47	433
99	48	432
100	48	432
101	49	431
102	49	430
103	49	429
104	50	428
105	50	428
106	51	427
107	51	427
108	52	426
109	52	425
110	53	424
111	53	425
112	54	424
113	54	425
114	55	425
115	55	424
116	56	424
117	56	423
118	57	422
119	57	421
120	57	420
121	58	419
122	58	419
123	59	418
124	59	418
125	60	418
126	60	417
127	61	416
128	61	416
129	62	415
130	62	414
131	63	414
132	63	414
133	64	413
134	64	413
135	64	411
136	65	411
137	65	410
138	66	410
139	66	409
140	67	409
141	67	408
142	68	408
143	68	407
144	68	406
145	69	405
146	69	405
147	70	404
148	70	404
149	71	404
150	71	403
151	72	403
152	72	402
153	73	402
154	73	401
155	74	400
156	74	400
157	74	399
158	75	398
159	75	397
160	76	396
161	76	395
162	76	395
163	77	394
164	77	393
165	78	393
166	78	393
167	79	392
168	79	392
169	80	391
170	80	391
171	81	390
172	81	390
173	82	389
174	82	388
175	82	388
176	83	387
177	83	386
178	84	386
179	84	385
180	85	385
181	85	384
182	86	384
183	86	383
184	86	383
185	87	382
186	87	381
187	88	381
188	88	380
189	89	379
190	89	379
191	89	378
192	90	378
193	91	378
194	91	377
195	92	377
196	92	376
197	92	376
198	93	375
199	93	375
200	94	374
201	94	374
202	95	374
